individual	time	statistic	proportion	rate_eur2afr	replicate
eur_8	26000	direct f4-ratio	0.02826698238863401	0.225	1
eur_9	24000	direct f4-ratio	0.0272310196832914	0.225	1
eur_10	22000	direct f4-ratio	0.040757732721622024	0.225	1
eur_11	20000	direct f4-ratio	0.018647328696166938	0.225	1
eur_12	18000	direct f4-ratio	0.013941098120467663	0.225	1
eur_13	16000	direct f4-ratio	0.037117063785703716	0.225	1
eur_14	14000	direct f4-ratio	0.04043214444280006	0.225	1
eur_15	12000	direct f4-ratio	0.02311676779635933	0.225	1
eur_16	10000	direct f4-ratio	0.016900991564303688	0.225	1
eur_17	8000	direct f4-ratio	0.04857185141334912	0.225	1
eur_18	6000	direct f4-ratio	0.024419120911647184	0.225	1
eur_19	4000	direct f4-ratio	0.024063933698386858	0.225	1
eur_20	2000	direct f4-ratio	0.02285037738641409	0.225	1
eur_21	0	direct f4-ratio	0.03208524493118248	0.225	1
eur_1	40000	direct f4-ratio	0.02424518282506448	0.25	1
eur_2	38000	direct f4-ratio	0.036443635260203305	0.25	1
eur_3	36000	direct f4-ratio	0.021939007737824305	0.25	1
eur_4	34000	direct f4-ratio	0.0060688818085267784	0.25	1
eur_5	32000	direct f4-ratio	0.014747382794720073	0.25	1
eur_6	30000	direct f4-ratio	0.029312699135184344	0.25	1
eur_7	28000	direct f4-ratio	0.040479441662873615	0.25	1
eur_8	26000	direct f4-ratio	0.04214838416021848	0.25	1
eur_9	24000	direct f4-ratio	0.04748900015172205	0.25	1
eur_10	22000	direct f4-ratio	0.00928538916704597	0.25	1
eur_11	20000	direct f4-ratio	0.0321347291761493	0.25	1
eur_12	18000	direct f4-ratio	0.008010923987255348	0.25	1
eur_13	16000	direct f4-ratio	0.011864663935669852	0.25	1
eur_14	14000	direct f4-ratio	0.013503262023972082	0.25	1
eur_15	12000	direct f4-ratio	0.020543164921863147	0.25	1
eur_16	10000	direct f4-ratio	0.028463055681990593	0.25	1
eur_17	8000	direct f4-ratio	0.022910028827188587	0.25	1
eur_18	6000	direct f4-ratio	0.026854802002730997	0.25	1
eur_19	4000	direct f4-ratio	0.02633894704900622	0.25	1
eur_20	2000	direct f4-ratio	0.013746017296313154	0.25	1
eur_21	0	direct f4-ratio	0.011955697162797756	0.25	1
eur_1	40000	direct f4-ratio	0.03950661962061582	0	2
eur_2	38000	direct f4-ratio	0.04342712385777617	0	2
